,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(370, 292, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
1,2,"(370, 292, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
2,3,"(370, 289, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
3,4,"(370, 289, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
4,5,"(370, 286, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
5,6,"(370, 286, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
6,7,"(370, 283, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
7,8,"(370, 283, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
8,9,"(370, 280, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
9,10,"(370, 280, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
10,11,"(369, 277, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
