,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(330, 299, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
1,2,"(330, 299, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
2,3,"(330, 296, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
3,4,"(330, 296, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
4,5,"(330, 293, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
5,6,"(330, 293, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
6,7,"(330, 290, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
7,8,"(330, 290, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
8,9,"(330, 287, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
9,10,"(330, 287, 638)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
