,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(270, 304, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
1,2,"(270, 304, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
2,3,"(270, 301, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
3,4,"(270, 301, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
4,5,"(270, 298, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
5,6,"(270, 298, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
6,7,"(270, 295, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
7,8,"(270, 295, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
8,9,"(270, 292, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
9,10,"(270, 292, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
10,11,"(269, 289, 640)",620,ORBm5,"Orbital area, medial part, layer 5","(36, 138, 94)"
