,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(381, 296, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(381, 296, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(381, 293, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(381, 293, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(381, 290, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(381, 290, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(381, 287, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(381, 287, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(381, 285, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(381, 285, 607)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
