,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(341, 301, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(341, 301, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(341, 298, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(341, 298, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(341, 295, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(341, 295, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(341, 292, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(341, 292, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(341, 289, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(341, 289, 613)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
