,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(321, 303, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(321, 303, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(321, 300, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(321, 300, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(321, 297, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(321, 297, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(321, 294, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(321, 294, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(321, 291, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(321, 291, 618)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
