,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(361, 265, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(361, 265, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(361, 262, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(361, 262, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(361, 259, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(361, 259, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(361, 256, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(361, 256, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(361, 253, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(361, 253, 620)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
