,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(341, 269, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(341, 269, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(341, 266, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(341, 266, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(341, 263, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(341, 263, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(341, 260, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(341, 260, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(341, 257, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(341, 257, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
