,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(321, 271, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(321, 271, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(321, 268, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(321, 268, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(321, 265, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(321, 265, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(321, 262, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(321, 262, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(321, 259, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(321, 259, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
