,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(394, 296, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
1,2,"(394, 296, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
2,3,"(394, 293, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
3,4,"(394, 293, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
4,5,"(394, 290, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
5,6,"(394, 290, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
6,7,"(394, 287, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
7,8,"(394, 287, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
8,9,"(394, 285, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
9,10,"(394, 285, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
10,11,"(393, 282, 613)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
