,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(374, 299, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(374, 299, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(374, 296, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(374, 296, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(374, 293, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(374, 293, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(374, 290, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(374, 290, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(374, 287, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(374, 287, 601)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
